,xfoot,yfoot,xknee,yknee
0,891.8148148148148,8.723456790123457,823.6867219917012,144.98340248962654
1,894.4360313315927,8.449086161879896,822.1797520661157,142.42355371900825
2,895.8951406649617,8.485933503836318,821.5042016806723,140.75420168067228
3,897.445,8.5125,821.1149193548387,140.01008064516128
4,900.0368421052632,8.5,820.7819706498951,139.38364779874215
5,901.9113924050633,8.949367088607595,820.8114406779661,139.3072033898305
6,902.5783664459161,10.136865342163356,820.4340425531915,139.46170212765958
7,904.9932432432432,10.664414414414415,821.0805785123966,139.73760330578511
8,906.6326530612245,12.086167800453515,821.3595041322315,140.65495867768595
9,907.954356846473,14.101659751037344,821.9875776397515,141.9792960662526
10,909.7668067226891,16.861344537815125,823.0895522388059,143.41577825159914
11,911.6975308641976,18.84567901234568,823.9748953974895,145.3786610878661
12,913.9458823529412,21.03764705882353,825.4705882352941,148.1113445378151
13,915.8896713615023,24.269953051643192,826.7242798353909,150.52674897119343
14,917.2837528604119,27.068649885583525,828.2468085106383,153.74893617021277
15,918.7666666666667,31.172916666666666,830.2155172413793,157.36637931034483
16,920.7750556792873,35.08685968819599,832.1021739130434,161.42391304347825
17,922.1369565217391,39.61739130434783,834.1214750542299,165.6182212581345
18,924.4405594405595,43.624708624708624,835.9045643153527,170.46058091286307
19,926.3162790697675,49.093023255813954,837.8549783549784,175.62337662337663
20,928.0936768149883,54.30679156908665,839.9478079331941,180.8893528183716
21,929.7757437070939,60.23798627002288,841.9507186858316,186.59548254620123
22,930.7727272727273,66.76839826839827,843.9621052631579,193.4063157894737
23,932.3974082073435,74.01727861771059,845.6021052631579,200.07368421052632
24,934.4509345794393,80.94859813084112,847.547131147541,207.49180327868854
25,935.9157427937915,88.46563192904657,848.8493723849373,215.44351464435147
26,936.9864864864865,97.1036036036036,850.4291666666667,223.44375
27,938.6046511627907,105.63953488372093,851.8004115226338,231.58024691358025
28,939.6719817767654,115.1002277904328,852.2116504854368,240.62718446601943
29,941.6261261261261,125.19144144144144,852.5138888888889,249.99801587301587
30,942.528735632184,135.93563218390804,852.8568588469185,259.5685884691849
31,944.3496332518338,147.22249388753056,852.6964285714286,269.69444444444446
32,944.7333333333333,159.7888888888889,852.3996101364522,279.9122807017544
33,946.234273318872,172.25162689804773,850.4691780821918,291.24486301369865
34,947.5117370892019,185.6267605633803,848.1796116504854,302.9126213592233
35,949.3333333333334,199.78832116788323,845.7221206581353,312.8244972577697
36,950.7944862155389,214.1704260651629,843.0245098039215,322.062091503268
37,950.8913043478261,229.94927536231884,839.8101045296168,333.4843205574913
38,952.2155388471178,246.61904761904762,835.9284253578733,345.62167689161555
39,951.8161764705883,264.3014705882353,830.8803738317757,355.5102803738318
40,951.8610526315789,285.6505263157895,825.8646934460888,367.4482029598309
41,950.9812108559499,304.6555323590814,820.1451292246521,378.24254473161034
42,950.1756272401434,322.97849462365593,813.7430278884462,388.22908366533864
43,949.5133020344288,347.57120500782474,806.765478424015,398.780487804878
